id,title,category,company,level,salary,link,format,city/country
36700,quality assurance (manual),qa,NDA,senior,240000,https://hirehi.ru/qa/quality-assurance-manual-36700,удалённо,РФ
36699,iOS разработчик,development,Экосистема тенниса,senior,350000,https://hirehi.ru/development/ios-razrabotchik-36699,удалённо,Не указано
36697,platform engineer,devops,NDA,senior,372000,https://hirehi.ru/devops/platform-engineer-36697,удалённо,Не указано
36696,growth marketing manager,marketing,NDA,middle,223000,https://hirehi.ru/marketing/growth-marketing-manager-36696,удалённо,Не указано
36695,Бизнес аналитик,analytics,ВТБ,middle,210000,https://hirehi.ru/analytics/biznes-analitik-36695,гибрид,Москва
36694,DevOps инженер,devops,Сбер,senior,345000,https://hirehi.ru/devops/devops-inzhener-36694,гибрид,Москва
36693,Python Developer,development,Сбер,middle,90000,https://hirehi.ru/development/python-developer-36693,гибрид,Нижний Новгород
36692,c++ developer,development,Level 26 Games,senior,320000,https://hirehi.ru/development/c-developer-36692,удалённо,Не указано
36691,Аналитик данных,analytics,Магнит,intern,65000,https://hirehi.ru/analytics/analitik-dannyh-36691,гибрид,Москва
36690,Системный аналитик,analytics,МТС,senior,282000,https://hirehi.ru/analytics/sistemnyi-analitik-36690,удалённо,РФ
36689,Менеджер продукта,management,Cloud.ru,senior,386000,https://hirehi.ru/management/menedzher-produkta-36689,гибрид,Москва
36688,media buyer,marketing,Dicebet,middle,80000,https://hirehi.ru/marketing/media-buyer-36688,офис,Не указано
36687,DevOps Engineer,devops,Касперский,middle,231150,https://hirehi.ru/devops/devops-engineer-36687,удалённо,РФ
36686,Аналитик данных,analytics,Aston,senior,210000,https://hirehi.ru/analytics/analitik-dannyh-36686,удалённо,Не указано
36685,продакт-менеджер,management,NDA,senior,371000,https://hirehi.ru/management/prodakt-menedzher-36685,удалённо,Не указано
36684,Python Developer,development,Сбер,senior,318000,https://hirehi.ru/development/python-developer-36684,офис,Москва
36683,qa engineer (auto),qa,Альфа-банк,middle,180000,https://hirehi.ru/qa/qa-engineer-auto-36683,удалённо,РФ
36682,аналитик данных,analytics,IT People,middle,204000,https://hirehi.ru/analytics/analitik-dannyh-36682,удалённо,РФ
36681,seo specialist,marketing,Elbax,senior,220000,https://hirehi.ru/marketing/seo-specialist-36681,удалённо,Не указано
36680,influencer manager,marketing,ChatPlace,middle,160000,https://hirehi.ru/marketing/influencer-manager-36680,удалённо,Не указано
36679,data engineer,development,Viviane Talents,senior,240000,https://hirehi.ru/development/data-engineer-36679,удалённо,Не указано
36678,smm-менеджер,marketing,HydroForma,junior,40000,https://hirehi.ru/marketing/smm-menedzher-36678,удалённо,Не указано
36677,Vue Developer,development,Сбер,middle,215000,https://hirehi.ru/development/vue-developer-36677,гибрид,Москва
36676,Product Owner,management,Ozon,lead,395000,https://hirehi.ru/management/product-owner-36676,гибрид,Москва
36675,Продуктовый аналитик,analytics,ВКонтакте,senior,320000,https://hirehi.ru/analytics/produktovyi-analitik-36675,гибрид,Москва
36674,C++ разработчик,development,Яндекс Реклама,lead,411000,https://hirehi.ru/development/c-razrabotchik-36674,гибрид,Москва
36673,руководитель продукта,management,Ozon,lead,409000,https://hirehi.ru/management/rukovoditel-produkta-36673,гибрид,Москва
36672,Менеджер продукта,management,Ozon,middle,227000,https://hirehi.ru/management/menedzher-produkta-36672,офис,Москва
36671,seo specialist,marketing,NDA,senior,240000,https://hirehi.ru/marketing/seo-specialist-36671,удалённо,Не указано
36670,fullstack developer,development,Nexora,junior,68000,https://hirehi.ru/development/fullstack-developer-36670,удалённо,Не указано
36669,react native developer,development,NDA,middle,80000,https://hirehi.ru/development/react-native-developer-36669,удалённо,Не указано
36668,Java Developer,development,Aston,lead,325000,https://hirehi.ru/development/java-developer-36668,удалённо,Не указано
36667,C# Developer,development,2ГИС,middle,265000,https://hirehi.ru/development/c-developer-36667,удалённо,Не указано
36666,fullstack developer,development,Capital Network,middle,192000,https://hirehi.ru/development/fullstack-developer-36666,офис,Астана
36665,frontend developer,development,Космос Про Медиа,senior,240000,https://hirehi.ru/development/frontend-developer-36665,удалённо,Не указано
36664,android developer,development,NDA,senior,393000,https://hirehi.ru/development/android-developer-36664,удалённо,Не указано
36663,ios developer,development,IT People,middle,226000,https://hirehi.ru/development/ios-developer-36663,удалённо,РФ
36662,Ml engineer,development,Яндекс Директ,lead,381000,https://hirehi.ru/development/ml-engineer-36662,гибрид,Москва
36661,Golang разработчик,development,Суточно.ру,senior,387000,https://hirehi.ru/development/golang-razrabotchik-36661,удалённо,Не указано
