id,title,category,company,format,level,salary,link
36556,директор по маркетингу,marketing,NDA,удалённо,lead,от 141 000 ₽,https://hirehi.ru/marketing/direktor-po-marketingu-36556
36555,frontend developer,development,PayDepot,офис Лимассол,lead,~ 477 000 ₽,https://hirehi.ru/development/frontend-developer-36555
36554,security engineer,devops,Wildberries,удалённо,junior,~ 116 000 ₽,https://hirehi.ru/devops/security-engineer-36554
36553,marketing manager,marketing,DreamVR,удалённо,middle,~ 124 000 ₽,https://hirehi.ru/marketing/marketing-manager-36553
36552,frontend developer,development,Qdata,гибрид Астана,middle,от 160 000 ₽,https://hirehi.ru/development/frontend-developer-36552
36551,Backend разработчик,development,SwapRail,удалённо,middle,~ 352 000 ₽,https://hirehi.ru/development/backend-razrabotchik-36551
36550,Project Manager,management,FIX,удалённо по РФ,senior,~ 249 000 ₽,https://hirehi.ru/management/project-manager-36550
36549,директор по маркетингу,marketing,АО Медицина,офис Москва,lead,~ 304 000 ₽,https://hirehi.ru/marketing/direktor-po-marketingu-36549
36548,менеджер по продукту,management,NDA,офис Москва,middle,~ 245 000 ₽,https://hirehi.ru/management/menedzher-po-produktu-36548
36547,аналитик данных,analytics,СДЭк,удалённо,middle,~ 207 000 ₽,https://hirehi.ru/analytics/analitik-dannyh-36547
36546,аналитик данных,analytics,ЭПЕКО,гибрид Москва,senior,~ 234 000 ₽,https://hirehi.ru/analytics/analitik-dannyh-36546
36545,fullstack developer,development,NDA,удалённо,middle,~ 209 000 ₽,https://hirehi.ru/development/fullstack-developer-36545
36544,Business Analyst,analytics,2ГИС,удалённо,middle,~ 205 000 ₽,https://hirehi.ru/analytics/business-analyst-36544
36543,SMM-специалист,marketing,Social Discovery Group,удалённо,senior,~ 234 000 ₽,https://hirehi.ru/marketing/smm-spetsialist-36543
36542,python разработчик,development,13FOX,удалённо,intern,~ 51 000 ₽,https://hirehi.ru/development/python-razrabotchik-36542
36541,smm manager,marketing,WINRUN,офис Москва,middle,~ 123 000 ₽,https://hirehi.ru/marketing/smm-manager-36541
36540,smm manager,marketing,NDA,офис Лимассол,lead,~ 333 000 ₽,https://hirehi.ru/marketing/smm-manager-36540
36539,affiliate manager,marketing,NDA,удалённо,middle,~ 164 000 ₽,https://hirehi.ru/marketing/affiliate-manager-36539
36538,менеджер по маркетингу,marketing,NDA,офис,middle,~ 161 000 ₽,https://hirehi.ru/marketing/menedzher-po-marketingu-36538
36537,influencer manager,marketing,NDA,удалённо,middle,~ 141 000 ₽,https://hirehi.ru/marketing/influencer-manager-36537
36536,Комьюнити-менеджер,marketing,Фоксфорд,удалённо,middle,~ 146 000 ₽,https://hirehi.ru/marketing/komyuniti-menedzher-36536
36535,crm-маркетолог,marketing,NDA,удалённо,junior,80 000 ₽,https://hirehi.ru/marketing/crm-marketolog-36535
36534,таргетолог,marketing,NDA,удалённо,middle,~ 153 000 ₽,https://hirehi.ru/marketing/targetolog-36534
36533,marketing specialist,marketing,NDA,удалённо,junior,~ 82 000 ₽,https://hirehi.ru/marketing/marketing-specialist-36533
36532,system analyst,analytics,NDA,удалённо,middle,от 220 000 ₽,https://hirehi.ru/analytics/system-analyst-36532
36531,бизнес аналитик,analytics,Selecty,удалённо по РФ,middle,240 000 ₽,https://hirehi.ru/analytics/biznes-analitik-36531
36530,data analyst,analytics,Omega Solutions,удалённо по РФ,senior,350 000 ₽,https://hirehi.ru/analytics/data-analyst-36530
36529,flutter разработчик,development,NDA,удалённо,intern,~ 62 000 ₽,https://hirehi.ru/development/flutter-razrabotchik-36529
36528,frontend developer,development,Insperia,удалённо,middle,~ 211 000 ₽,https://hirehi.ru/development/frontend-developer-36528
36527,python developer,development,MySky,удалённо,middle,~ 290 000 ₽,https://hirehi.ru/development/python-developer-36527
36526,разработчик sql,development,NDA,удалённо по РФ,middle,от 256 000 ₽,https://hirehi.ru/development/razrabotchik-sql-36526
36525,fastapi developer,development,.wrk,удалённо,middle,~ 214 000 ₽,https://hirehi.ru/development/fastapi-developer-36525
36524,c++ developer,development,IFellow,удалённо по РФ,senior,от 240 000 ₽,https://hirehi.ru/development/c-developer-36524
36523,веб-дизайнер,design,Oxem,удалённо,middle,от 120 000 ₽,https://hirehi.ru/design/veb-dizainer-36523
36522,системный аналитик,analytics,NDA,удалённо,senior,до 350 000 ₽,https://hirehi.ru/analytics/sistemnyi-analitik-36522
36521,системный аналитик,analytics,Forrards,удалённо по РФ,middle,от 200 000 ₽,https://hirehi.ru/analytics/sistemnyi-analitik-36521
36520,qa engineer (manual),qa,Онмун,удалённо,middle,150 000 ₽,https://hirehi.ru/qa/qa-engineer-manual-36520
36519,quality engineer (auto),qa,Bulberry Studio,удалённо,lead,~ 308 000 ₽,https://hirehi.ru/qa/quality-engineer-auto-36519
36518,тестировщик (auto),qa,NDA,удалённо,intern,~ 47 000 ₽,https://hirehi.ru/qa/testirovschik-auto-36518
36517,инженер по тестированию (auto),qa,Prideinbrains,удалённо по РФ,middle,~ 198 000 ₽,https://hirehi.ru/qa/inzhener-po-testirovaniyu-auto-36517
36516,веб-дизайнер,design,EXBO,удалённо,junior,~ 87 000 ₽,https://hirehi.ru/design/veb-dizainer-36516
36515,ux/ui designer,design,Velvetech,удалённо,middle,~ 184 000 ₽,https://hirehi.ru/design/ux-ui-designer-36515
36514,digital дизайнер,design,Pitch,удалённо,middle,~ 89 000 ₽,https://hirehi.ru/design/digital-dizainer-36514
36513,Product Owner,management,Yandex Cloud,гибрид Москва,middle,~ 267 000 ₽,https://hirehi.ru/management/product-owner-36513
36512,project manager,management,NDA,удалённо,middle,от 100 000 ₽,https://hirehi.ru/management/project-manager-36512
36511,android developer,development,inDrive,гибрид,middle,~ 253 000 ₽,https://hirehi.ru/development/android-developer-36511
36510,support engineer,devops,Т1,удалённо,middle,~ 228 000 ₽,https://hirehi.ru/devops/support-engineer-36510
36509,директор по продукту,management,MEDvidi,удалённо,lead,~ 497 000 ₽,https://hirehi.ru/management/direktor-po-produktu-36509
36508,product manager,management,AppStorm,удалённо,middle,~ 213 000 ₽,https://hirehi.ru/management/product-manager-36508
36507,golang developer,development,Exness,офис,senior,~ 434 000 ₽,https://hirehi.ru/development/golang-developer-36507
36506,ppc specialist,marketing,NDA,удалённо,senior,~ 238 000 ₽,https://hirehi.ru/marketing/ppc-specialist-36506
36505,графический дизайнер,design,Yonder Media Mobile,удалённо,middle,~ 138 000 ₽,https://hirehi.ru/design/graficheskii-dizainer-36505
36504,системный аналитик,analytics,NDA,удалённо,middle,~ 226 000 ₽,https://hirehi.ru/analytics/sistemnyi-analitik-36504
36503,marketing manager,marketing,NDA,удалённо,lead,~ 274 000 ₽,https://hirehi.ru/marketing/marketing-manager-36503
36502,media buyer,marketing,NDA,удалённо,middle,~ 153 000 ₽,https://hirehi.ru/marketing/media-buyer-36502
36501,product manager,management,NDA,удалённо,middle,от 240 000 ₽,https://hirehi.ru/management/product-manager-36501
36500,head of affiliate,marketing,NDA,удалённо,lead,~ 350 000 ₽,https://hirehi.ru/marketing/head-of-affiliate-36500
36499,ml engineer,development,10arx,удалённо,senior,~ 455 000 ₽,https://hirehi.ru/development/ml-engineer-36499
36498,engineering manager,development,MEDvidi,удалённо,lead,~ 492 000 ₽,https://hirehi.ru/development/engineering-manager-36498
36497,automation qa,qa,Wisebits,удалённо,senior,от 282 000 ₽,https://hirehi.ru/qa/automation-qa-36497
36496,graphic designer,design,NDA,гибрид Минск,middle,~ 121 000 ₽,https://hirehi.ru/design/graphic-designer-36496
36495,старший менеджер продукта,management,ВКонтакте,гибрид Москва,senior,~ 390 000 ₽,https://hirehi.ru/management/starshii-menedzher-produkta-36495
36494,business analyst,analytics,NDA,удалённо,middle,~ 199 000 ₽,https://hirehi.ru/analytics/business-analyst-36494
36493,project manager,management,Kolesa Group,офис Алматы,lead,до 80 000 ₽,https://hirehi.ru/management/project-manager-36493
36492,automation qa,qa,Yonder Media Mobile,удалённо,senior,~ 371 000 ₽,https://hirehi.ru/qa/automation-qa-36492
36491,Дата аналитик,analytics,Авито,удалённо,middle,~ 249 000 ₽,https://hirehi.ru/analytics/data-analitik-36491
36490,devops/sre engineer,devops,ITSell,удалённо,senior,от 300 000 ₽,https://hirehi.ru/devops/devops-sre-engineer-36490
36489,head of affiliate,marketing,NDA,удалённо,lead,~ 330 000 ₽,https://hirehi.ru/marketing/head-of-affiliate-36489
36488,Graphic Designer,design,Feerique,гибрид Москва,senior,~ 171 000 ₽,https://hirehi.ru/design/graphic-designer-36488
36487,marketing manager,marketing,NDA,удалённо,middle,~ 153 000 ₽,https://hirehi.ru/marketing/marketing-manager-36487
36486,go разработчик,development,NDA,удалённо,senior,~ 338 000 ₽,https://hirehi.ru/development/go-razrabotchik-36486
36485,Дизайнер продукта,design,Цифровые Образовательные Решения,удалённо,senior,~ 258 000 ₽,https://hirehi.ru/design/dizainer-produkta-36485
36484,аналитик данных,analytics,ДОМ.РФ,гибрид Москва,middle,~ 201 000 ₽,https://hirehi.ru/analytics/analitik-dannyh-36484
36483,Marketing Analyst,marketing,Самолет,гибрид Москва,middle,~ 205 000 ₽,https://hirehi.ru/marketing/marketing-analyst-36483
36482,Java разработчик,development,ДОМ.РФ,гибрид Москва,senior,~ 351 000 ₽,https://hirehi.ru/development/java-razrabotchik-36482
36481,Python Developer,development,Электросервис-Р,удалённо,middle,~ 202 000 ₽,https://hirehi.ru/development/python-developer-36481
36480,data engineer,development,deeplay,удалённо,junior,~ 130 000 ₽,https://hirehi.ru/development/data-engineer-36480
36479,Продуктовый дизайнер,design,Яндекс Крауд,гибрид,senior,~ 266 000 ₽,https://hirehi.ru/design/produktovyi-dizainer-36479
36478,Тестировщик (auto),qa,Альфа-Банк,удалённо по РФ,middle,~ 211 000 ₽,https://hirehi.ru/qa/testirovschik-auto-36478
36477,UX/UI Designer,design,GS Labs,удалённо,senior,~ 223 000 ₽,https://hirehi.ru/design/ux-ui-designer-36477
36476,ai engineer,development,КРОК,офис Москва,lead,~ 406 000 ₽,https://hirehi.ru/development/ai-engineer-36476
36475,product manager,management,NDA,гибрид Минск,middle,~ 176 000 ₽,https://hirehi.ru/management/product-manager-36475
36474,automation qa,qa,Альфа-Банк,удалённо по РФ,middle,~ 224 000 ₽,https://hirehi.ru/qa/automation-qa-36474
36473,ai engineer,development,МТС,удалённо,senior,~ 348 000 ₽,https://hirehi.ru/development/ai-engineer-36473
36472,бизнес аналитик,analytics,Nrav,офис Москва,middle,от 150 000 ₽,https://hirehi.ru/analytics/biznes-analitik-36472
36471,маркетолог,marketing,EmphaSoft,удалённо,senior,~ 221 000 ₽,https://hirehi.ru/marketing/marketolog-36471
36470,графический дизайнер,design,NDA,удалённо,middle,до 110 000 ₽,https://hirehi.ru/design/graficheskii-dizainer-36470
36469,rust developer,development,Lagrange Labs,удалённо,senior,от 480 000 ₽,https://hirehi.ru/development/rust-developer-36469
36468,product lead,management,BridgeApp,офис Лимасол,lead,~ 477 000 ₽,https://hirehi.ru/management/product-lead-36468
36467,Android Developer,development,Andersen,удалённо,middle,~ 254 000 ₽,https://hirehi.ru/development/android-developer-36467
36466,media buyer,marketing,NDA,удалённо,middle,~ 179 000 ₽,https://hirehi.ru/marketing/media-buyer-36466
36464,системный инженер,devops,JetBrains,гибрид,senior,~ 512 000 ₽,https://hirehi.ru/devops/sistemnyi-inzhener-36464
36463,qa инженер (manual),qa,Сбер,гибрид Москва,middle,~ 188 000 ₽,https://hirehi.ru/qa/qa-inzhener-manual-36463
36462,Frontend Developer,development,aic.,удалённо,middle,~ 168 000 ₽,https://hirehi.ru/development/frontend-developer-36462
36461,php developer,development,NDA,удалённо,senior,~ 358 000 ₽,https://hirehi.ru/development/php-developer-36461
36460,product manager,management,NDA,удалённо,senior,~ 397 000 ₽,https://hirehi.ru/management/product-manager-36460
36459,fullstack разработчик,development,NDA,удалённо,middle,~ 199 000 ₽,https://hirehi.ru/development/fullstack-razrabotchik-36459
36458,qa engineer (manual),qa,NDA,удалённо по РФ,middle,до 150 000 ₽,https://hirehi.ru/qa/qa-engineer-manual-36458
36457,python разработчик,development,Домклик,удалённо по РФ,middle,~ 257 000 ₽,https://hirehi.ru/development/python-razrabotchik-36457
36456,marketing manager,marketing,Next Genium,удалённо,middle,от 45 000 ₽,https://hirehi.ru/marketing/marketing-manager-36456
36455,Дизайнер продукта,design,Ozon,гибрид Москва,middle,~ 213 000 ₽,https://hirehi.ru/design/dizainer-produkta-36455
36454,Продуктовый аналитик,analytics,Ozon,удалённо,senior,~ 279 000 ₽,https://hirehi.ru/analytics/produktovyi-analitik-36454
36453,.NET Developer,development,Ozon,удалённо,senior,~ 332 000 ₽,https://hirehi.ru/development/net-developer-36453
36452,automation qa,qa,Ozon,удалённо,junior,~ 86 000 ₽,https://hirehi.ru/qa/automation-qa-36452
36451,руководитель проекта,management,NDA,офис Лимасол,lead,~ 449 000 ₽,https://hirehi.ru/management/rukovoditel-proekta-36451
36450,Системный аналитик,analytics,iiko,гибрид Москва,middle,250 000 ₽,https://hirehi.ru/analytics/sistemnyi-analitik-36450
36449,Frontend разработчик,development,Т-Банк,удалённо по РФ,intern,~ 79 000 ₽,https://hirehi.ru/development/frontend-razrabotchik-36449
36448,php developer,development,NDA,удалённо по РФ,lead,~ 360 000 ₽,https://hirehi.ru/development/php-developer-36448
36447,automation qa,qa,Сбер,гибрид Питер,junior,~ 84 000 ₽,https://hirehi.ru/qa/automation-qa-36447
36446,Product Owner,management,Сбер,гибрид Москва,senior,~ 349 000 ₽,https://hirehi.ru/management/product-owner-36446
36445,DevOps Engineer,devops,ВКонтакте,удалённо по РФ,senior,~ 369 000 ₽,https://hirehi.ru/devops/devops-engineer-36445
36444,PHP разработчик,development,Сбер,гибрид Питер,middle,~ 241 000 ₽,https://hirehi.ru/development/php-razrabotchik-36444
36443,Android Developer,development,Сбер,гибрид Питер,middle,~ 242 000 ₽,https://hirehi.ru/development/android-developer-36443
36442,automation qa,qa,Сбер,гибрид Москва,middle,~ 196 000 ₽,https://hirehi.ru/qa/automation-qa-36442
36441,PHP разработчик,development,Brainsome,удалённо,middle,141 000 ₽,https://hirehi.ru/development/php-razrabotchik-36441
36440,data analyst,analytics,Bank Centre Credit,офис Алматы,middle,от 117 920 ₽,https://hirehi.ru/analytics/data-analyst-36440
36439,data engineer,development,ДОМ.РФ,удалённо по РФ,senior,~ 316 000 ₽,https://hirehi.ru/development/data-engineer-36439
36438,Java Developer,development,Домклик,удалённо по РФ,middle,~ 266 000 ₽,https://hirehi.ru/development/java-developer-36438
36437,automation qa,qa,OutKod,удалённо,senior,от 240 000 ₽,https://hirehi.ru/qa/automation-qa-36437
36436,tech lead,development,Т1,удалённо,lead,~ 376 000 ₽,https://hirehi.ru/development/tech-lead-36436
36435,System Analyst,analytics,Сбер,офис Москва,senior,~ 289 000 ₽,https://hirehi.ru/analytics/system-analyst-36435
36434,Аналитик данных,analytics,МТС,гибрид Москва,intern,~ 60 000 ₽,https://hirehi.ru/analytics/analitik-dannyh-36434
36433,Дата аналитик,analytics,ВКонтакте,гибрид Москва,lead,~ 380 000 ₽,https://hirehi.ru/analytics/data-analitik-36433
36432,Product Manager,management,Сбер,гибрид Москва,senior,~ 363 000 ₽,https://hirehi.ru/management/product-manager-36432
