country,role,level,min_eur,max_eur,range_eur
Austria,Applications Developer,sme,43,52,9
Austria,Applications Developer,st,52,59,7
Austria,Applications Developer,co,56,60,4
Austria,Automation Engineer,sme,36,43,7
Austria,Automation Engineer,st,47,54,7
Austria,Automation Engineer,co,48,57,9
Austria,Backend Developer,sme,42,52,10
Austria,Backend Developer,st,53,71,18
Austria,Backend Developer,co,62,86,24
Austria,BI Analyst,sme,40,48,8
Austria,BI Analyst,st,44,51,7
Austria,BI Analyst,co,44,51,7
Austria,BI Developer,sme,41,51,10
Austria,BI Developer,st,56,68,12
Austria,BI Developer,co,59,69,10
Austria,BI Manager,sme,67,78,11
Austria,BI Manager,st,71,82,11
Austria,BI Manager,co,92,101,9
Austria,Cyber Security Analyst,sme,50,58,8
Austria,Cyber Security Analyst,st,54,62,8
Austria,Cyber Security Analyst,co,55,61,6
Austria,Data Analyst,sme,51,58,7
Austria,Data Analyst,st,55,62,7
Austria,Data Analyst,co,55,62,7
Austria,Data Engineer,sme,42,54,12
Austria,Data Engineer,st,52,68,16
Austria,Data Engineer,co,60,80,20
Austria,Devops Engineer,sme,45,56,11
Austria,Devops Engineer,st,55,69,14
Austria,Devops Engineer,co,63,80,17
Austria,Frontend Developer,sme,48,53,5
Austria,Frontend Developer,st,56,68,12
Austria,Frontend Developer,co,66,82,16
Austria,Full Stack Developer,sme,44,56,12
Austria,Full Stack Developer,st,55,73,18
Austria,Full Stack Developer,co,57,76,19
Austria,Machine Learning Engineer,sme,49,59,10
Austria,Machine Learning Engineer,st,60,73,13
Austria,Machine Learning Engineer,co,66,78,12
Austria,Network Architect,sme,47,57,10
Austria,Network Architect,st,54,64,10
Austria,Network Architect,co,76,86,10
Austria,Python Developer,sme,36,43,7
Austria,Python Developer,st,44,54,10
Austria,Python Developer,co,45,57,12
Austria,QA Analyst,sme,42,48,6
Austria,QA Analyst,st,45,50,5
Austria,QA Analyst,co,46,51,5
Austria,QA Engineer,sme,41,49,8
Austria,QA Engineer,st,51,58,7
Austria,QA Engineer,co,54,59,5
Austria,QA Manager,sme,68,77,9
Austria,QA Manager,st,78,91,13
Austria,QA Manager,co,79,92,13
Austria,Salesforce Developer,sme,35,42,7
Austria,Salesforce Developer,st,37,43,6
Austria,Salesforce Developer,co,43,51,8
Austria,Scrum Master,sme,47,56,9
Austria,Scrum Master,st,51,61,10
Austria,Scrum Master,co,61,71,10
Austria,Software Developer,sme,42,50,8
Austria,Software Developer,st,59,70,11
Austria,Software Developer,co,62,74,12
Austria,Software Engineer,sme,44,60,16
Austria,Software Engineer,st,46,63,17
Austria,Software Engineer,co,61,82,21
Austria,Software Engineering Manager,sme,61,70,9
Austria,Software Engineering Manager,st,73,85,12
Austria,Software Engineering Manager,co,100,116,16
Austria,Solutions Analyst,sme,41,52,11
Austria,Solutions Analyst,st,45,57,12
Austria,Solutions Analyst,co,46,57,11
Austria,Systems Architect,sme,59,68,9
Austria,Systems Architect,st,55,64,9
Austria,Systems Architect,co,96,116,20
Austria,Systems Engineer,sme,52,61,9
Austria,Systems Engineer,st,66,76,10
Austria,Systems Engineer,co,71,83,12
Austria,Test Automation Engineer,sme,34,40,6
Austria,Test Automation Engineer,st,37,45,8
Austria,Test Automation Engineer,co,47,54,7
Belarus,Applications Developer,sme,31,37,6
Belarus,Applications Developer,st,39,44,5
Belarus,Applications Developer,co,39,45,6
Belarus,Automation Engineer,sme,22,28,6
Belarus,Automation Engineer,st,32,38,6
Belarus,Automation Engineer,co,33,39,6
Belarus,Backend Developer,sme,25,32,7
Belarus,Backend Developer,st,33,43,10
Belarus,Backend Developer,co,40,50,10
Belarus,BI Analyst,sme,26,30,4
Belarus,BI Analyst,st,27,32,5
Belarus,BI Analyst,co,28,32,4
Belarus,BI Developer,sme,22,28,6
Belarus,BI Developer,st,29,35,6
Belarus,BI Developer,co,32,35,3
Belarus,BI Manager,sme,38,49,11
Belarus,BI Manager,st,40,50,10
Belarus,BI Manager,co,50,58,8
Belarus,Cyber Security Analyst,sme,26,34,8
Belarus,Cyber Security Analyst,st,28,34,6
Belarus,Cyber Security Analyst,co,28,35,7
Belarus,Data Analyst,sme,26,32,6
Belarus,Data Analyst,st,28,34,6
Belarus,Data Analyst,co,28,34,6
Belarus,Data Engineer,sme,29,38,9
Belarus,Data Engineer,st,36,49,13
Belarus,Data Engineer,co,42,59,17
Belarus,Devops Engineer,sme,28,36,8
Belarus,Devops Engineer,st,38,47,9
Belarus,Devops Engineer,co,44,57,13
Belarus,Frontend Developer,sme,30,36,6
Belarus,Frontend Developer,st,41,49,8
Belarus,Frontend Developer,co,49,61,12
Belarus,Full Stack Developer,sme,28,40,12
Belarus,Full Stack Developer,st,41,52,11
Belarus,Full Stack Developer,co,41,54,13
Belarus,Machine Learning Engineer,sme,30,36,6
Belarus,Machine Learning Engineer,st,39,50,11
Belarus,Machine Learning Engineer,co,42,53,11
Belarus,Network Architect,sme,29,33,4
Belarus,Network Architect,st,33,38,5
Belarus,Network Architect,co,45,52,7
Belarus,Python Developer,sme,20,25,5
Belarus,Python Developer,st,26,33,7
Belarus,Python Developer,co,28,36,8
Belarus,QA Analyst,sme,26,30,4
Belarus,QA Analyst,st,30,37,7
Belarus,QA Analyst,co,31,34,3
Belarus,QA Engineer,sme,24,28,4
Belarus,QA Engineer,st,30,38,8
Belarus,QA Engineer,co,30,38,8
Belarus,QA Manager,sme,43,45,2
Belarus,QA Manager,st,49,55,6
Belarus,QA Manager,co,47,55,8
Belarus,Salesforce Developer,sme,22,27,5
Belarus,Salesforce Developer,st,22,28,6
Belarus,Salesforce Developer,co,24,31,7
Belarus,Scrum Master,sme,28,37,9
Belarus,Scrum Master,st,32,41,9
Belarus,Scrum Master,co,42,52,10
Belarus,Software Developer,sme,31,35,4
Belarus,Software Developer,st,45,50,5
Belarus,Software Developer,co,46,53,7
Belarus,Software Engineer,sme,24,26,2
Belarus,Software Engineer,st,24,31,7
Belarus,Software Engineer,co,29,47,18
Belarus,Software Engineering Manager,sme,35,43,8
Belarus,Software Engineering Manager,st,44,52,8
Belarus,Software Engineering Manager,co,60,70,10
Belarus,Solutions Analyst,sme,28,35,7
Belarus,Solutions Analyst,st,30,39,9
Belarus,Solutions Analyst,co,31,40,9
Belarus,Systems Architect,sme,40,52,12
Belarus,Systems Architect,st,37,46,9
Belarus,Systems Architect,co,57,72,15
Belarus,Systems Engineer,sme,31,39,8
Belarus,Systems Engineer,st,38,47,9
Belarus,Systems Engineer,co,42,48,6
Belarus,Test Automation Engineer,sme,18,24,6
Belarus,Test Automation Engineer,st,22,29,7
Belarus,Test Automation Engineer,co,30,37,7
Belgium,Applications Developer,sme,46,50,4
Belgium,Applications Developer,st,57,65,8
Belgium,Applications Developer,co,58,64,6
Belgium,Automation Engineer,sme,40,48,8
Belgium,Automation Engineer,st,52,60,8
Belgium,Automation Engineer,co,53,63,10
Belgium,Backend Developer,sme,47,61,14
Belgium,Backend Developer,st,57,76,19
Belgium,Backend Developer,co,63,87,24
Belgium,BI Analyst,sme,45,53,8
Belgium,BI Analyst,st,48,56,8
Belgium,BI Analyst,co,47,56,9
Belgium,BI Developer,sme,44,48,4
Belgium,BI Developer,st,54,60,6
Belgium,BI Developer,co,54,62,8
Belgium,BI Manager,sme,72,83,11
Belgium,BI Manager,st,77,88,11
Belgium,BI Manager,co,101,110,9
Belgium,Cyber Security Analyst,sme,60,65,5
Belgium,Cyber Security Analyst,st,66,71,5
Belgium,Cyber Security Analyst,co,65,72,7
Belgium,Data Analyst,sme,48,56,8
Belgium,Data Analyst,st,52,59,7
Belgium,Data Analyst,co,53,60,7
Belgium,Data Engineer,sme,50,65,15
Belgium,Data Engineer,st,59,78,19
Belgium,Data Engineer,co,67,88,21
Belgium,Devops Engineer,sme,51,61,10
