,title,location,predict_category
0,Account Executive (SaaS),US,marketing
1,"Senior Account Manager, Key Accounts (SaaS)",US,marketing
2,Forward-Deployed Data Scientist II (AI),Australia,analytics
3,Customer Support Specialist (AI),Australia,qa
4,Deal Strategy And Pricing Manager (Fintech),Italy,marketing
5,"Vp, Real Estate Strategy & Planning",US,management
6,Gps Sales Onboarding & Strategic Programs Lead,US,marketing
7,"Partner Strategy & Operations, Senior Manager",US,management
8,"Manager, Government Procurement & Process Strategist",US,management
9,"Director, Strategic Workforce Planner",US,management
10,Strategic Solution Engineer (AI),Austria,development
11,Fins Strategic Account Leader (Fintech),Singapore,marketing
12,Software Development Engineer (AI),US,development
13,"Regional Director, Commercial Sales (AI)",,marketing
14,"Engineering Manager, Core Services (AI)",,management
15,Benefits Specialist,US,management
16,Account Manager,US,management
17,Associate Systems Engineer,US,marketing
18,Crypto SEO Content Writer (DeFi/AI),,development
19,Data Scientist (Healthcare),UK,analytics
20,"Analyst (Market Access, HTA, Health Economics, Literature Reviews, Real-World Evidence, Statistics) (Medtech)",UK,analytics
21,Health Economist,US,analytics
22,AI Engineer,US,analytics
23,Security Grc Senior Analyst (Fintech),US,management
24,Project Coordinator (Medical),UK,management
25,Customer Success Manager (Fintech),US,qa
26,Senior It Business Analyst (Fintech),Europe,management
27,Analyst/Medical Writer,UK,analytics
28,Corporate Treasury Analyst,US,management
29,Project Manager (Fintech),US,management
30,Marketing Specialist (SaaS),US,marketing
31,Software Architect (Remote) (AI),US,development
32,"Director, Global Workforce Management Office (Gwmo)",UK,management
33,Senior Analyst (Medical Communications),US,management
34,Senior Analyst (Medical),US,analytics
35,Analyst (Healthcare),UK,analytics
36,Senior Health Economist (Medtech),US,analytics
37,Senior Consultant - Data & AI (Microsoft Fabric),US,analytics
38,Senior Consultant - Data & AI (Microsoft Fabric),US,analytics
39,"Senior Software Engineer (Backend, Ecosystem)",US,development
40,"Senior Software Engineer (Backend, Core & Ecosystem)",US,development
41,Ruby On Rails Engineer (Frontend),US,development
42,Lead Network Engineer,US,devops
43,Senior Product Marketing Manager (AI),UK,marketing
44,Lighter,US,Other
45,Senior Technical Recruiter (Renew Home),US,management
46,"Intake Coordinator, Ethics & Compliance Operations",US,management
47,Channel Sales Director (Cybersecurity),US,marketing
48,Senior Devops Engineer (FedRAMP),US,devops
49,Technical Enablement Engineer,US,management
50,Senior Devops Engineer (Fedramp),US,devops
51,Senior Devops Engineer Fedramp (Cybersecurity),US,devops
52,User Interface and User Experience Designer (AI),,design
53,Technical Account Manager,US,qa
54,Customer Services Administrator,UK,qa
55,Frontend Engineer (AI),US,qa
56,Customer Service Administrator (Fintech),UK,qa
57,"Manager, Onboarding",US,management
58,Senior Business It Consultant (Automotive),Poland,management
59,Enterprise Support Lead,US,management
60,Junior Business IT Consultant (Automotive),Poland,management
61,Staff Product Designer (Fintech),US,design
62,Mendix Architect,Poland,development
63,VDI Architect / Senior Engineer,Poland,development
64,"Manager, Project Management",,management
65,Hearing Instrument Specialist/Audiologist (Medtech),US,management
66,Senior Financial Institutions Underwriter (Fintech),Spain,management
67,Customer Solutions Design Manager,UK,management
68,Contract And Commercial Manager,Canada,management
69,Head Of Estates,UK,management
70,Gender Advisor,Syria,management
71,Satcom 24/7 Service & Operations Engineer,UK,devops
72,Meal Assistant,SS,Other
73,Director Of Acquisitions (Industrial),US,management
74,Cafe Back Of House Team Member,UK,Other
75,Senior Account Executive (SaaS),UK,marketing
76,Senior Payment Strategy Manager (Fintech),US,marketing
77,Fractional Growth Consultant (Marketing),,marketing
78,Marketing Specialist - Web Production,US,marketing
79,"Principal Creative, Art Direction (Fintech)",US,design
80,"Marketing Intern, Creative Operations (Fintech)",US,marketing
81,"Special Counsel, Digital Assets (Fintech)",US,management
82,Senior Field Marketing Specialist (Web3),US,marketing
83,"Senior Counsel, Bank Regulatory (Fintech)",US,management
84,"Manager, Trust Bank Operations & Strategy (Fintech)",US,management
85,Senior / Staff 3D Engine Software Engineer (Simulation),US,development
86,Head Of East Coast Sales (Adtech),UK,marketing
87,Business Development Representative,US,marketing
88,Vice President / Senior Vice President (Fintech),US,management
89,Community Manager (Gamedev),US,marketing
90,"Account Manager, Channel (SaaS)",US,marketing
91,Community Manager (Gamedev),US,marketing
92,Community Manager (Gamedev),US,marketing
93,"Vp, People Business Partners & Talent Development (AI)",Australia,management
94,Senior Product Designer (Fintech),US,design
95,"Senior Manager, People Systems",US,management
96,Senior Product Designer (AI),UK,design
97,Technical Producer II (AI),US,management
98,Principal Lighting Artist (Gamedev),US,design
99,Program Manager (Digital Marketing),US,management
100,Senior Privacy Counsel,US,management
101,Revenue Intelligence Operations Manager (Sales),US,marketing
102,Ios Engineering Intern (Mobile Development),US,development
103,Senior Privacy Counsel (Legaltech),US,management
104,Frontend Software Engineering Intern (React),US,management
105,Backend Software Engineering Intern (AI),US,development
106,"AVP, Enterprise Sales West (SaaS)",US,marketing
107,Regional Marketing Manager,Australia,marketing
108,AI Tutor (Audio Editing),US,Other
109,Commercial Lead (Fintech),UK,marketing
110,Senior Sales Engineer (Medtech),US,marketing
111,Spectrum Engineer,US,devops
112,Digital Sales Representative (SaaS),US,marketing
113,"Senior Product Designer, Ads Measurement",US,design
114,Software Engineer Intern (Fall 2026),US,development
115,Senior Applied Scientist (AI),US,analytics
116,"Technical Producer II (Game Development, AI)",,management
117,Principal Lighting Artist (Gamedev),,design
118,Staff Electrode Engineer,US,development
119,Staff Electrolyte Engineer,US,development
120,Staff Battery Engineer,US,development
121,Inbound Smb Sales Specialist (Fintech),US,marketing
122,Technical Integration Engineer (Fintech),US,management
123,Senior Machine Learning Engineer (Medtech),US,analytics
124,Fullstack Software Engineer (AI),,development
125,Backend Software Engineer (AI),,development
126,It Support Engineer,Chile,devops
127,Regional Sales Director (Cybersecurity),US,marketing
128,"Security Engineer, Product Security (Cybersecurity)",US,devops
129,"Senior Officer, Diversity, Equity & Inclusion (Africa, Europe & Middle East)",Ethiopia,management
130,Forward Deployment Engineer (Fintech),US,management
131,"Senior Research Scientist, Global Health Modeling",US,analytics
132,DLP Analyst (AI),US,analytics
133,Regional Sales Director (Cybersecurity),US,marketing
